1	Capítulo	A00-B99 Capítulo I	I	Certas doenças infecciosas e parasitárias	Certas doenças infecciosas e parasitárias	Certas doenças infecciosas e parasitárias
2	Grupo	A00- A09	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Doenças infecciosas intestinais
3	Categoria	A00	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Cólera
4	Subcategoria	A000	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Cólera devido ao Vibrio cholerae 01, biovar cholerae
5	Subcategoria	A001	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Cólera devido ao Vibrio cholerae 01, biovar eltor
6	Subcategoria	A009	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Cólera não especificada
7	Categoria	A01	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Febre tifoide e paratifóide
8	Subcategoria	A010	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Febre tifóide
9	Subcategoria	A011	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Febre Paratifóide A
10	Subcategoria	A012	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Febre paratifóide B
11	Subcategoria	A013	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Febre paratifóide C
12	Subcategoria	A014	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Febre paratifóide, não especificada
13	Categoria	A02	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Outras infecções por salmonela
14	Subcategoria	A020	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Enterite de Salmonella
15	Subcategoria	A021	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Salmonella sepsis
16	Subcategoria	A022	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Infecções localizadas por salmonela
17	Subcategoria	A028	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Outras infecções específicas por salmonela
18	Subcategoria	A029	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Infecção por Salmonella, não especificada
19	Categoria	A03	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Shigelose
20	Subcategoria	A030	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Shigelose devida a Shigella dysenteriae
